#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
        83   -1.0556724983e+01    1.1178607827e+02   -2.1553200745e+01    1.0996475763e+01   -7.3219985548e+00    6.7208802484e-01   -2.1276227749e+00   -1.2775667440e+01   -1.8791126779e+00    9.5428230307e-02    6.0000000000e+01    3.8201578333e-03    7.5763888889e-01
        84   -1.0522554966e+01    1.1094652914e+02   -2.2078324786e+01    1.1555769820e+01   -7.0083986769e+00    2.7966023000e-01   -2.5739188987e+00   -1.2775667440e+01   -2.3041211143e+00    9.5428230307e-02    6.0000000000e+01    4.0895411667e-03    7.5347222222e-01
        85   -1.0503143936e+01    1.1057391746e+02   -2.2139213671e+01    1.1636069735e+01   -7.2350015031e+00    7.4472968123e-01   -2.8732744091e+00   -1.2775667440e+01   -2.6496784482e+00    9.5428230307e-02    6.0000000000e+01    4.6516453333e-03    7.4583333333e-01
        86   -1.0475216534e+01    1.1007533714e+02   -2.1737757661e+01    1.1262541127e+01   -6.9563645864e+00    7.0488802508e-01   -2.7106136599e+00   -1.2775667440e+01   -2.4601441752e+00    9.5428230307e-02    6.0000000000e+01    3.8339761667e-03    7.7569444444e-01
        87   -1.0522143061e+01    1.1093735156e+02   -2.1384285504e+01    1.0862142442e+01   -6.7014215047e+00    7.0404200415e-01   -2.6112385628e+00   -1.2775667440e+01   -2.3606579313e+00    9.5428230307e-02    6.0000000000e+01    4.5620331667e-03    7.6666666667e-01
        88   -1.0481385326e+01    1.1019110646e+02   -2.1816644875e+01    1.1335259549e+01   -7.1603919407e+00    5.6347085621e-01   -2.4440563503e+00   -1.2775667440e+01   -2.1774428126e+00    9.5428230307e-02    6.0000000000e+01    4.2612119167e-03    7.6597222222e-01
        89   -1.0415332706e+01    1.0888996272e+02   -2.2562549038e+01    1.2147216333e+01   -8.3178647287e+00    8.8372728447e-01   -2.3527441539e+00   -1.2775667440e+01   -2.0507336351e+00    9.5428230307e-02    6.0000000000e+01    3.8219409167e-03    7.4166666667e-01
        90   -1.0542655164e+01    1.1167425963e+02   -2.2300230170e+01    1.1757575006e+01   -7.5376283523e+00    6.7047061003e-01   -2.6574049875e+00   -1.2775667440e+01   -2.4114827500e+00    9.5428230307e-02    6.0000000000e+01    4.7581622500e-03    7.6736111111e-01
        91   -1.0495529006e+01    1.1050262506e+02   -2.2925719308e+01    1.2430190302e+01   -8.4261898654e+00    1.0759189643e+00   -2.7997809665e+00   -1.2775667440e+01   -2.5810597532e+00    9.5428230307e-02    6.0000000000e+01    3.9919532500e-03    7.5000000000e-01
        92   -1.0516414984e+01    1.1155050773e+02   -2.2120541944e+01    1.1604126960e+01   -7.0025624427e+00    3.2352455361e-01   -2.6658366143e+00   -1.2775667440e+01   -2.4326760197e+00    9.5428230307e-02    6.0000000000e+01    3.8732938333e-03    7.6875000000e-01
        93   -1.0332944701e+01    1.0714625592e+02   -2.2542251644e+01    1.2209306943e+01   -7.4372164913e+00    4.2326888686e-01   -2.7526365995e+00   -1.2775667440e+01   -2.5388037385e+00    9.5428230307e-02    6.0000000000e+01    4.6379079167e-03    7.6875000000e-01
        94   -1.0341653419e+01    1.0758288826e+02   -2.1529586729e+01    1.1187933309e+01   -6.6746456183e+00    3.2603010463e-01   -2.4053037747e+00   -1.2775667440e+01   -2.1325940762e+00    9.5428230307e-02    6.0000000000e+01    3.8796965000e-03    7.6805555556e-01
